addresses
"SISSA, Neurosci Sector, I-34100 Trieste, Italy; Pontificia Univ Catolica Chile, Neurosci Lab, Escuela Psicol, Santiago, Chile"
"[Scherer, L. C.; Tomitch, L. M. B.] Univ Fed Santa Catarina, BR-88040900 Florianopolis, SC, Brazil; [Scherer, L. C.] Univ Santa Cruz do Sul, Mestrado Em Letras, Brazil; [Ska, B.; Lesage, F.; Joanette, Y.] Univ Montreal, Fac Med, Montreal, PQ H3C 3J7, Canada; [Ska, B.; Giroux, F.; Lesage, F.; Senhadji, N.; Marcotte, K.; Benali, H.; Joanette, Y.] Inst Univ Geriatr Montreal, Ctr Rech, Montreal, PQ, Canada; [Lesage, F.] Univ Montreal, Ecole Polytech, Dept Genie Elect, Montreal, PQ H3C 3J7, Canada; [Marcotte, K.] Univ Montreal, Montreal, PQ H3C 3J7, Canada; [Benali, H.] CHU Pitie Salpetriere, INSERM, U678, Paris, France"
"Univ Gama Filho, Ctr Pesquisas Interdisciplinares Saude, BR-20748900 Rio De Janeiro, Brazil; Univ Gama Filho, Programa Pos Grad Educ Fis, BR-20748900 Rio De Janeiro, Brazil; Univ Gama Filho, Dept Educ Fis, Rio De Janeiro, Brazil; Univ Estacio Sa, Rio De Janeiro, Brazil; Univ Alberta, Fac Rehabil Med, Dept Occupat Therapy, Edmonton, AB, Canada"
"[Pereira, Marta Inez R.; Gomes, Paulo Sergio C.] Univ Gama Filho, Programa Posgrad Educ Fis, BR-20748900 Rio De Janeiro, Brazil; [Pereira, Marta Inez R.; Gomes, Paulo Sergio C.] Univ Gama Filho, Lab Crossbridges, BR-20748900 Rio De Janeiro, Brazil; [Bhambhani, Yagesh N.] Univ Alberta, Fac Rehabil Med, Dept Occupat Therapy, Edmonton, AB, Canada"
"[Custo, Anna; Fischl, Bruce; Grimson, W. Eric L.; Wells, Williams, III] MIT, Comp Sci & Artificial Intelligence Lab, Cambridge, MA 02139 , United States of America; [Custo, Anna; Boas, David A.; Mesquita, Rickson; Fischl, Bruce] Harvard Univ, Sch Med, Massachusetts Gen Hosp, Athinoula A Martinos Ctr Biomed Imaging, Charlestown, MA , United States of America; [Tsuzuki, Daisuke; Dan, Ippeita] Natl Food Res Inst, Tsukuba, Ibaraki 3058642, Japan; [Mesquita, Rickson] Univ Estadual Campinas, Inst Phys, BR-13083970 Campinas, SP, Brazil; [Wells, Williams, III] Harvard Univ, Sch Med, Brigham Womens Hosp, Boston, MA 02115 , United States of America"
"[Arden, Rosalind; Jung, Rex E.] 1 Univ New Mexico, Hlth Sci Ctr, Dept Neurosurg, Albuquerque, NM 87131 , United States of America; [Chavez, Robert S.; Grazioplene, Rachael; Jung, Rex E.] Mind Res Network, Albuquerque, NM 87106 , United States of America; [Arden, Rosalind] Kings Coll London, Social Genet Dev & Psychiat Ctr, London SE5 8AF, England"
"[Holper, Lisa; Wolf, Martin] Univ Zurich Hosp, Dept Obstet & Gynecol, Div Neonatol, Biomed Opt Res Lab, CH-8091 Zurich, Switzerland; [Holper, Lisa] Univ Zurich, Inst Neuroinformat INI, CH-8057 Zurich, Switzerland; [Holper, Lisa] ETH, CH-8057 Zurich, Switzerland; [Shalom, Diego E.; Sigman, Mariano] Univ Buenos Aires, Dept Phys, Fac Exact & Nat Sci, Lab Integrat Neurosci, Buenos Aires, DF, Argentina"
"[Benavides-Varela, Silvia; Gomez, David M.; Mehler, Jacques] Scuola Int Super Studi Avanzati, Cognit Neurosci Sect, I-34136 Trieste, Italy; [Gomez, David M.] Univ Chile, Ctr Adv Res Educ, Santiago, Chile"
"[Benavides-Varela, Silvia; Gomez, David M.; Mehler, Jacques] Int Sch Adv Studies SISSA ISAS, Cognit Neurosci Sect, Trieste, Italy; [Gomez, David M.] Univ Chile, Ctr Adv Res Educ CIAE, Santiago, Chile; [Macagno, Francesco] Santa Maria della Misericordia Hosp, Dept Neonatal Pathol, Udine, Italy; [Bion, Ricardo A. H.] Stanford Univ, Dept Psychol, Stanford, CA 94305 , United States of America; [Peretz, Isabelle] Univ Montreal, BRAMS, Montreal, PQ, Canada"
"[Holper, Lisa; Scholkmann, Felix; Wolf, Martin] Univ Zurich Hosp, Dept Obstet & Gynecol, Div Neonatol, BORL, CH-8091 Zurich, Switzerland; [Holper, Lisa] Univ Zurich, Inst Neuroinformat INI, CH-8006 Zurich, Switzerland; [Holper, Lisa] ETH, Zurich, Switzerland; [Shalom, Diego E.] Univ Buenos Aires, Fac Exact & Nat Sci, Dept Phys, Lab Integrat Neurosci, RA-1053 Buenos Aires, DF, Argentina"
"[Scherer, Lilian Cristine; Fonseca, Rochele Paz] Pontificia Univ Catolica Rio Grande do Sul, Porto Alegre, RS, Brazil; [Scherer, Lilian Cristine; Fonseca, Rochele Paz; Amiri, Mahnoush; Adrover-Roig, Daniel; Marcotte, Karine; Ansaldo, Ana Ines] Univ Montreal, Montreal, PQ H3C 3J7, Canada; [Scherer, Lilian Cristine; Fonseca, Rochele Paz; Amiri, Mahnoush; Adrover-Roig, Daniel; Marcotte, Karine; Giroux, Francine; Senhadji, Noureddine; Lesage, Frederic; Ansaldo, Ana Ines] Inst Univ Geriatrie Montreal, Ctr Rech, Montreal, PQ, Canada; [Adrover-Roig, Daniel] Univ Illes Balears, Palma de Mallorca, Spain; [Benali, Habib] UPMC, INSERM, U678, Paris, France; [Lesage, Frederic] Ecole Polytech, Montreal, PQ H3C 3A7, Canada"
